"","Tree type","Tree size","Rejection rate","Median alpha (95% HPD)"
"1","Slow speed-up",25,0.01,"0.23 (0.058-2.284)"
"2","Slow speed-up",50,0.006,"0.178 (0.04-1.495)"
"3","Slow speed-up",100,0.008,"0.137 (0.035-1.109)"
"4","Slow speed-up",150,0.007,"0.124 (0.032-0.979)"
"5","Slow speed-up",200,0.005,"0.109 (0.029-0.789)"
"6","Slow speed-up",500,0.002,"0.079 (0.021-0.506)"
"7","Slow speed-up",1000,0.003,"0.063 (0.018-0.376)"
"8","Rapid speed-up",25,0.024,"0.349 (0.072-4.088)"
"9","Rapid speed-up",50,0.009,"0.26 (0.062-2.838)"
"10","Rapid speed-up",100,0.01,"0.241 (0.048-2.191)"
"11","Rapid speed-up",150,0.011,"0.225 (0.049-1.96)"
"12","Rapid speed-up",200,0.005,"0.193 (0.047-1.684)"
"13","Rapid speed-up",500,0.006,"0.16 (0.043-1.273)"
"14","Rapid speed-up",1000,0.004,"0.134 (0.039-0.976)"
"15","Slow slow-down",25,0.01,"0.148 (0.038-1.662)"
"16","Slow slow-down",50,0.008,"0.083 (0.023-0.721)"
"17","Slow slow-down",100,0.001,"0.053 (0.016-0.354)"
"18","Slow slow-down",150,0.001,"0.04 (0.012-0.305)"
"19","Slow slow-down",200,0.002,"0.035 (0.011-0.235)"
"20","Slow slow-down",500,0,"0.022 (0.007-0.134)"
"21","Slow slow-down",1000,0,"0.015 (0.005-0.107)"
"22","Rapid slow-down",25,0.024,"0.349 (0.072-4.088)"
"23","Rapid slow-down",50,0.009,"0.26 (0.062-2.838)"
"24","Rapid slow-down",100,0.01,"0.241 (0.048-2.191)"
"25","Rapid slow-down",150,0.011,"0.225 (0.049-1.96)"
"26","Rapid slow-down",200,0.005,"0.193 (0.047-1.684)"
"27","Rapid slow-down",500,0.006,"0.16 (0.043-1.273)"
"28","Rapid slow-down",1000,0.004,"0.134 (0.039-0.976)"
