"","Tree type","Tree size","Rejection rate","Median alpha (95% HPD)"
"1","Slow speed-up",25,0.126,"0.443 (0-3.18)"
"2","Slow speed-up",50,0.118,"0.34 (0-1.963)"
"3","Slow speed-up",100,0.105,"0.22 (0-1.324)"
"4","Slow speed-up",150,0.098,"0.189 (0-1.113)"
"5","Slow speed-up",200,0.085,"0.162 (0-0.9)"
"6","Slow speed-up",500,0.061,"0.096 (0-0.545)"
"7","Slow speed-up",1000,0.061,"0.065 (0-0.415)"
"8","Rapid speed-up",25,0.191,"0.882 (0-7.012)"
"9","Rapid speed-up",50,0.136,"0.603 (0-4.082)"
"10","Rapid speed-up",100,0.122,"0.527 (0-3.024)"
"11","Rapid speed-up",150,0.122,"0.442 (0-2.485)"
"12","Rapid speed-up",200,0.086,"0.349 (0-2.01)"
"13","Rapid speed-up",500,0.079,"0.241 (0-1.437)"
"14","Rapid speed-up",1000,0.069,"0.183 (0-1.083)"
"15","Slow slow-down",25,0.112,"0.278 (0-1.792)"
"16","Slow slow-down",50,0.082,"0.14 (0-0.985)"
"17","Slow slow-down",100,0.073,"0.091 (0-0.549)"
"18","Slow slow-down",150,0.053,"0.055 (0-0.388)"
"19","Slow slow-down",200,0.064,"0.05 (0-0.349)"
"20","Slow slow-down",500,0.05,"0.028 (0-0.209)"
"21","Slow slow-down",1000,0.042,"0.017 (0-0.146)"
"22","Rapid slow-down",25,0.093,"0.192 (0-1.45)"
"23","Rapid slow-down",50,0.077,"0.118 (0-0.854)"
"24","Rapid slow-down",100,0.058,"0.061 (0-0.408)"
"25","Rapid slow-down",150,0.064,"0.038 (0-0.329)"
"26","Rapid slow-down",200,0.051,"0.029 (0-0.278)"
"27","Rapid slow-down",500,0.036,"0.014 (0-0.147)"
"28","Rapid slow-down",1000,0.054,"0.006 (0-0.11)"
