"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1e-04,-64.2043105383789,-66.95700106392,-69.3804600101045,-60.5365557709351,-62.4161720371425,-65.772259434903,-58.5099557815919,-63.8189934787287,-57.0750907822618,-65.2833765137792
0.0101,-64.1491225172352,-66.980788855707,-69.3254240432948,-60.4936287658628,-62.3738642964698,-65.7378510809077,-58.437332493753,-63.7945144041164,-57.1842900395392,-65.2703174184569
0.0201,-64.0970102180056,-67.008750546492,-69.2730481828617,-60.4526295274002,-62.3333246248535,-65.7053642004072,-58.3668889351226,-63.7730126912488,-57.2964097203384,-65.2586183937222
0.0301,-64.0479651316454,-67.0408952662616,-69.2233341385507,-60.4135673633393,-62.2945484853284,-65.6747997612067,-58.2986334452027,-63.754490762429,-57.4114194006444,-65.2482817378867
0.0401,-64.0019772588076,-67.077228927423,-69.176282498221,-60.376451128301,-62.2575306798051,-65.6461581897508,-58.2325739079461,-63.7389499366069,-57.5292873472628,-65.2393093627118
0.0501,-63.9590350910339,-67.1177541516487,-69.1318927165384,-60.3412891975801,-62.2222653484722,-65.619439361589,-58.1687177364509,-63.7263904133228,-57.6499805312748,-65.2317027809491
0.0601,-63.9191255944808,-67.1624702043562,-69.0901631052507,-60.3080894409179,-62.1887459705809,-65.5946425921799,-58.1070718574411,-63.7168112578924,-57.7734646428983,-65.225463094182
0.0701,-63.8822341963209,-67.2113729372788,-69.0510908250615,-60.2768591962734,-62.1569653666289,-65.5717666280658,-58.0476426954791,-63.7102103878729,-57.8997041077404,-65.2205909810114
0.0801,-63.8483447739446,-67.2644547395185,-69.0146718791126,-60.2476052436547,-62.1269157019503,-65.5508096384362,-57.9904361569396,-63.7065845608487,-58.0286621044301,-65.2170866856278
0.0901,-63.8174396470761,-67.3217044974423,-68.9809011080754,-60.220333779084,-62.0985884917134,-65.5317692070986,-57.9354576137466,-63.7059293635721,-58.1603005836203,-65.2149500068051
0.1001,-63.7894995729111,-67.3831075637342,-68.9497721868494,-60.1950503887682,-62.0719746073204,-65.514642324874,-57.8827118868991,-63.7082392024912,-58.2945802883448,-65.2141802873578
0.1101,-63.7645037443732,-67.4486457358706,-68.9212776228609,-60.171760023548,-62.0470642841958,-65.4994253824363,-57.8322032298118,-63.7135072956939,-58.431460775718,-65.2147764040978
0.1201,-63.7424297915724,-67.5182972442405,-68.8954087559485,-60.150466973703,-62.0238471309415,-65.4861141636115,-57.7839353114958,-63.7217256662927,-58.5709004399616,-65.2167367583299
0.1301,-63.72325378654,-67.5920367500758,-68.8721557598193,-60.1311748441895,-62.0023121398337,-65.474703839155,-57.737911199622,-63.7328851372732,-58.7128565367434,-65.2200592669227
0.1401,-63.7069502512996,-67.669835353311,-68.8515076450554,-60.1138865303901,-61.9824476986223,-65.4651889610226,-57.6941333435038,-63.7469753278218,-58.8572852088105,-65.2247413539904
0.1501,-63.6934921693207,-67.7516606104279,-68.8334522636458,-60.0986041944541,-61.9642416035941,-65.4575634571526,-57.6526035570517,-63.7639846511509,-59.004141512899,-65.23077994322
0.1601,-63.6828510003864,-67.8374765622961,-68.817976315016,-60.0853292423097,-61.9476810738472,-65.4518206267747,-57.6133230017472,-63.7839003138275,-59.1533794479027,-65.2381714508793
0.1701,-63.6749966988946,-67.9272437719541,-68.8050653535241,-60.0740623014275,-61.932752766723,-65.4479531362603,-57.5762921697028,-63.8067083166166,-59.3049519842779,-65.2469117795347
0.1801,-63.6698977355925,-68.0209193722268,-68.7947037973914,-60.064803199417,-61.9194427943329,-65.4459530155305,-57.5415108668708,-63.8323934568402,-59.458811094666,-65.2569963125112
0.1901,-63.6675211227327,-68.1184571230179,-68.7868749390298,-60.0575509435338,-61.9077367411101,-65.4458116550351,-57.5089781964721,-63.8609393322534,-59.6149077857084,-65.2684199091219
0.2001,-63.66783244262,-68.2198074780595,-68.7815609567294,-60.0523037011795,-61.8976196823149,-65.4475198033172,-57.4786925427261,-63.892328346433,-59.7731921310315,-65.2811769006935
