"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1e-04,-76.4014665784865,-80.3372829070865,-64.3592738158905,-66.5227298161495,-65.8870291552084,-68.0513527318192,-76.94950566028,-64.449775017524,-58.0989868078278,-66.0695051793239
0.0101,-76.2833759220479,-80.3842663176691,-64.4227381020053,-66.6288107573882,-65.9423129694891,-68.0328231240025,-76.8841689004542,-64.4417407814162,-58.0694307504927,-66.0883375455989
0.0201,-76.167935620035,-80.4388141548584,-64.4905126833834,-66.7388311564802,-66.0123081811359,-68.016859522761,-76.8253689290239,-64.437173942261,-58.0421617861901,-66.1096007426914
0.0301,-76.055160021902,-80.5008830760537,-64.5625310276585,-66.8527914574389,-66.09701568893,-68.0034623989209,-76.773116910397,-64.4360895999063,-58.0171807232256,-66.1332986431635
0.0401,-75.9450624480803,-80.5704126402453,-64.6387237643007,-66.970689796449,-66.1963895913447,-67.9926318875959,-76.7274163304086,-64.4385016343894,-57.9944872021774,-66.1594338105905
0.0501,-75.837655121019,-80.6473251586237,-64.7190188060022,-67.0925219245387,-66.3103365405843,-67.9843677687992,-76.6882628580644,-64.4444226265836,-57.9740796752822,-66.1880074328469
0.0601,-75.7329490986485,-80.731525680888,-64.8033414767,-67.2182811337538,-66.4387156274858,-67.9786694469048,-76.6556442445348,-64.4538637770736,-57.9559553891712,-66.219019256927
0.0701,-75.6309542107863,-80.8229021208721,-64.8916146456549,-67.3479581872501,-66.581338806846,-67.9755359289597,-76.6295402608718,-64.4668348234352,-57.9401103711128,-66.2524675257917
0.0801,-75.5316789989851,-80.9213255230104,-64.9837588669921,-67.4815412537118,-66.7379718605629,-67.9749658018712,-76.6099226754862,-64.4833439561791,-57.9265394188988,-66.2883489177221
0.0901,-75.4351306602917,-81.026650469002,-65.0796925240863,-67.6190158464891,-66.9083358837688,-67.9769572085043,-76.5967552719672,-64.5033977336235,-57.9152360944849,-66.3266584886683
0.1001,-75.3413149953543,-81.1387156218302,-65.1793319781501,-67.7603647678384,-67.0921092673444,-67.9815078227294,-76.5899939073502,-64.5270009960117,-57.9061927214631,-66.3673896180802
0.1101,-75.2502363612675,-81.257344402129,-65.2825917203796,-67.9055680586326,-67.2889301392673,-67.988614823474,-76.5895866104451,-64.5541567792158,-57.8994003864164,-66.4105339587006
0.1201,-75.1618976295033,-81.3823457897914,-65.3893845269973,-68.0546029538886,-67.4983992175611,-67.9982748678368,-76.5954737193406,-64.5848662283833,-57.894848944174,-66.4560813907917
0.1301,-75.0763001492192,-81.513515241761,-65.499621616533,-68.2074438444383,-67.7200830195022,-68.0104840633354,-76.6075880567155,-64.6191285119424,-57.8925270269496,-66.5040199812446
0.1401,-74.9934437161808,-81.6506357151655,-65.613212808683,-68.3640622450458,-67.9535173654518,-68.0252379393681,-76.6258551411112,-64.6569407363701,-57.892422057318,-66.5543359480059
0.1501,-74.9133265474783,-81.7934787834001,-65.7300666840964,-68.5244267692461,-68.1982111113861,-68.0425314179768,-76.6501934318813,-64.6982978621994,-57.8945202649475,-66.6070136302202
0.1601,-74.8359452621557,-81.9418058314693,-65.8500907444473,-68.6885031111503,-68.4536500419467,-68.0623587840137,-76.6805146051305,-64.7431926217233,-57.8988067069784,-66.6620354644589
0.1701,-74.7612948678109,-82.0953693158914,-65.9731915721655,-68.8562540344339,-68.7193008556179,-68.0847136548166,-76.7167238575965,-64.7916154389145,-57.9052652919043,-66.7193819673662
0.1801,-74.6893687531682,-82.2539140737625,-66.0992749892201,-69.0276393686867,-68.9946151753296,-68.1095889495139,-76.7587202351347,-64.8435543520712,-57.9138788067877,-66.7790317250087
0.1901,-74.620158686564,-82.4171786651904,-66.2282462143707,-69.2026160132737,-69.2790335212117,-68.1369768580848,-76.8063969822294,-64.8989949397328,-57.9246289476117,-66.8409613891693
0.2001,-74.5536548202346,-82.584896733235,-66.3600100183272,-69.3811379488142,-69.571989187134,-68.1668688103097,-76.8596419087901,-64.9579202504229,-57.9374963525476,-66.9051456807761
0.2101,-74.4898457002442,-82.7567983657217,-66.4944708762884,-69.5631562563527,-69.8729119687787,-68.1992554447567,-76.918337770401,-65.0203107367739,-57.9524606378977,-66.9715574005989
0.2201,-74.428718281842,-82.932611443812,-66.63153311736,-69.7486191442553,-70.1812316979955,-68.2341265779544,-76.9823626581731,-65.0861441946153,-57.9695004364529,-67.0401674472957
0.2301,-74.3702579500006,-83.1120629630019,-66.771101070386,-69.9374719828258,-70.4963815457704,-68.2714711739084,-77.0515903944034,-65.1553957075812,-57.9885934379913,-67.1109448428269
0.2401,-74.3144485448481,-83.2948803132249,-66.913079205764,-70.1296573465979,-70.8178010639964,-68.3112773141282,-77.1258909303714,-65.2280375978172,-58.0097164316334,-67.1838567652023
0.2501,-74.2612723916786,-83.4807925059544,-67.0573722728475,-70.325115064221,-71.1449389440825,-68.3535321683325,-77.2051307427951,-65.3040393833346,-58.0328453497607,-67.2588685884614
