"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,-44.3852176019398,-70.9029371672196,-72.5035906703364,-70.1886420300442,-41.6517054684928,-31.0057480557778,-42.2833950524601,-37.0470473403204,-42.6005531047124,-86.8181460427631
0.001,-44.3733555891274,-70.5654958083866,-72.2929618030301,-69.8883977231662,-41.5553359930096,-30.89373044352,-42.1186277810625,-37.001470220628,-42.5261736700554,-86.4368887364981
0.002,-44.3611442089206,-70.2365986896996,-72.084005494794,-69.5922857935719,-41.4594646833756,-30.7837938155206,-41.9557701355416,-36.9554853727956,-42.4538696621224,-86.0628295360243
0.003,-44.3486133052601,-69.9158921213759,-71.8767153734899,-69.3002050386154,-41.3640990195366,-30.6758854461552,-41.7947981576714,-36.9091428586261,-42.3835514344131,-85.6957252797043
0.004,-44.3357896439633,-69.60304289461,-71.6710828988602,-69.0120573129513,-41.2692451531664,-30.5699537878848,-41.635686927127,-36.8624872324452,-42.315134183182,-85.335344514228
0.005,-44.322697294623,-69.2977367515314,-71.4670977224627,-68.7277474708584,-41.174908064636,-30.4659485188128,-41.4784107986072,-36.8155582884362,-42.2485376446624,-84.9814667835488
0.006,-44.3093579564076,-68.9996769948308,-71.264747990659,-68.447183299272,-41.0810916996949,-30.36382057312,-41.3229435996691,-36.7683916859335,-42.1836858120646,-84.6338819673771
0.007,-44.2957912372896,-68.7085832220493,-71.0640206005837,-68.1702754441699,-40.9877990888494,-30.2635221577664,-41.1692587960195,-36.7210194758247,-42.1205066713107,-84.2923896657126
0.008,-44.2820148944022,-68.4241901713729,-70.8649014170872,-67.8969373323974,-40.8950324519241,-30.1650067582018,-41.0173296297429,-36.6734705462418,-42.0589319544314,-83.9567986260767
0.009,-44.2680450417788,-68.1462466673648,-70.6673754571322,-67.6270850905725,-40.8027932898927,-30.0682291353063,-40.8671292349365,-36.6257710019416,-41.9988969095459,-83.6269262102997
0.01,-44.2538963305944,-67.8745146564428,-70.4714270469245,-67.3606374623634,-40.7110824657305,-29.973145315366,-40.7186307344215,-36.5779444888635,-41.9403400863633,-83.3025978979196
0.011,-44.2395821061152,-67.6087683231052,-70.2770399561093,-67.0975157251494,-40.6199002757691,-29.8797125745528,-40.5718073205542,-36.530012473094,-41.8832031361815,-82.9836468234532
0.012,-44.2251145448348,-67.3487932789365,-70.0841975125979,-66.8376436068531,-40.5292465128091,-29.7878894191091,-40.4266323226391,-36.4819944817096,-41.8274306253979,-82.6699133449939
0.013,-44.2105047746875,-67.094385817333,-69.8928827009792,-66.5809472035582,-40.4391205220599,-29.6976355622152,-40.2830792630244,-36.433908311572,-41.7729698616005,-82.361244641783
0.014,-44.1957629807486,-66.8453522276684,-69.7030782469711,-66.3273548983784,-40.3495212508188,-29.6089118983388,-40.1411219036162,-36.3857702110562,-41.7197707313564,-82.0574943385787
0.015,-44.180898498447,-66.6015081633134,-69.5147666899625,-66.0767972819362,-40.2604472926703,-29.5216804757217,-40.000734284264,-36.3375950388091,-41.6677855488721,-81.7585221548148
0.016,-44.1659198959895,-66.3626780585206,-69.3279304453676,-65.8292070747132,-40.1718969268796,-29.4359044675359,-39.8618907542395,-36.2893964029296,-41.6169689147495,-81.4641935766998
0.017,-44.1508350474399,-66.1286945897221,-69.1425518582384,-65.5845190514653,-40.0838681535586,-29.3515481421466,-39.7245659978365,-36.2411867833936,-41.5672775841173,-81.174379550554
0.018,-44.1356511976722,-65.8993981772478,-68.9586132493608,-65.3426699678346,-39.9963587251049,-29.2685768328356,-39.5887350549634,-36.192977640082,-41.5186703434644,-80.8889561958137
0.019,-44.1203750202392,-65.6746365238886,-68.77609695487,-65.1035984892451,-39.9093661743501,-29.1869569072744,-39.454373337464,-36.1447795083919,-41.4711078955509,-80.607804536263
