"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,-88.2910459088255,-110.988356071868,-107.625406336708,-114.792444681381,-117.502394286092,-102.930837999529,-103.060206257571,-98.1612159655527,-85.0567054465352,-101.702650455492
0.001,-88.2221583557558,-110.932796428178,-107.554261857564,-114.638698066965,-117.316525502053,-102.806809309941,-102.991542107411,-98.0771096720139,-85.0330378285266,-101.566961162842
0.002,-88.1548942055717,-110.877438588751,-107.483466974259,-114.487238298208,-117.132707779276,-102.684510361267,-102.923265784339,-97.9940848491902,-85.0091771294713,-101.433735170277
0.003,-88.0891956621852,-110.822285024944,-107.413016754925,-114.337998918569,-116.950895255229,-102.563895339193,-102.855370951516,-97.9121087020535,-84.9851356520681,-101.302900926352
0.004,-88.0250075427744,-110.767337898789,-107.34290638198,-114.19091605347,-116.77104355779,-102.444920139062,-102.787851488809,-97.8311498113726,-84.9609248232874,-101.17438954451
0.005,-87.9622771392703,-110.712599088958,-107.273131148427,-114.045928290684,-116.593109742581,-102.327542284578,-102.720701481379,-97.751178062006,-84.9365552728697,-101.048134689949
0.006,-87.9009540877059,-110.65807021433,-107.203686454299,-113.902976566666,-116.417052233506,-102.211720851175,-102.653915209027,-97.672164575632,-84.9120369032869,-100.924072470923
0.007,-87.8409902450367,-110.603752655413,-107.134567803252,-113.762004058583,-116.242830766307,-102.097416393724,-102.587487136239,-97.594081647596,-84.887378952255,-100.802141334459
0.008,-87.7823395730363,-110.549647573859,-107.06577079929,-113.622956081791,-116.070406334965,-101.984590878307,-102.52141190288,-97.5169026875883,-84.8625900487267,-100.682281966464
0.009,-87.7249580288802,-110.495755930252,-106.997291143625,-113.485779992491,-115.899741140767,-101.873207617782,-102.455684315489,-97.4406021638806,-84.8376782631601,-100.564437196133
0.01,-87.6688034620412,-110.442078500352,-106.929124631654,-113.350425095326,-115.730798543882,-101.763231210896,-102.390299339119,-97.3651555508767,-84.8126511527502,-100.44855190455
0.011,-87.613835517132,-110.388615889936,-106.861267150057,-113.216842555669,-115.563543017317,-101.654627484721,-102.325252089701,-97.2905392797497,-84.7875158022142,-100.334572937384
0.012,-87.5600155423462,-110.335368548391,-106.793714674015,-113.084985316357,-115.397940103094,-101.547363440197,-102.260537826867,-97.2167306919558,-84.762278860643,-100.222449021513
0.013,-87.5073065031652,-110.282336781164,-106.72646326452,-112.954808018652,-115.233956370534,-101.44140720059,-102.196151947225,-97.1437079954304,-84.7369465748654,-100.112130685464
0.014,-87.4556729010132,-110.22952076118,-106.659509065804,-112.826266927199,-115.071559376532,-101.336727962682,-102.13208997804,-97.0714502232898,-84.7115248197095,-100.003570183499
