"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.018,-81.1766134240189,-108.197809618117,-87.3606380055226,-81.8391016782926,-85.7540611167315,-83.0822779586105,-89.7446247009457,-96.1214343255897,-103.507862052145,-89.9493476327559
0.019,-81.1433493433538,-108.088528379775,-87.303760601226,-81.7842879815031,-85.7434223016698,-83.0459772188993,-89.6886906580804,-96.0376530634942,-103.428432617192,-89.9044857143395
0.02,-81.1102053733925,-107.979872146329,-87.2472785910957,-81.729771904051,-85.7327110802786,-83.009842226705,-89.6328899143982,-95.954599906807,-103.349448138402,-89.8598813170073
0.021,-81.0771806643102,-107.871833987408,-87.1911849113028,-81.6755513989619,-85.721929266816,-82.9738714558771,-89.5772238740087,-95.8722586333432,-103.270901479168,-89.8155318708777
0.022,-81.0442743735221,-107.76440707392,-87.1354726941616,-81.6216244171869,-85.7110786160771,-82.9380634001407,-89.5216938123491,-95.790613541855,-103.19278567714,-89.7714348278551
0.023,-81.0114856656348,-107.657584676544,-87.0801352611354,-81.5679889089453,-85.7001608258269,-82.9024165728289,-89.4663008846824,-95.7096494306846,-103.115093938649,-89.7275876622437
0.024,-80.9788137123979,-107.551360164221,-87.0251661161416,-81.5146428249662,-85.6891775391118,-82.8669295066151,-89.4110461339684,-95.6293515774711,-103.037819633351,-89.6839878712805
0.025,-80.9462576926543,-107.445727002651,-86.9705589391411,-81.4615841176401,-85.6781303464567,-82.8316007532446,-89.3559304981606,-95.5497057198504,-102.960956289077,-89.6406329755938
0.026,-80.9138167922894,-107.340678752795,-86.9163075799972,-81.4088107420824,-85.6670207879548,-82.7964288832668,-89.3009548169771,-95.4706980370921,-102.88449758688,-89.5975205195931
0.027,-80.8814902041801,-107.236209069384,-86.8624060525923,-81.356320657119,-85.6558503552548,-82.7614124857681,-89.2461198381905,-95.3923151326195,-102.808437356269,-89.5546480717969
0.028,-80.8492771281432,-107.132311699447,-86.8088485291885,-81.3041118261964,-85.644620493454,-82.7265501681055,-89.1914262234743,-95.3145440173646,-102.732769570626,-89.5120132251036
0.029,-80.817176770883,-107.028980480836,-86.7556293350215,-81.2521822182239,-85.6333326028998,-82.691840555642,-89.1368745538438,-95.2373720939102,-102.65748834279,-89.4696135970107
0.03,-80.7851883459384,-106.926209340779,-86.7027429431156,-81.20052980835,-85.6219880409073,-82.6572822914833,-89.0824653347221,-95.1607871413768,-102.582587920814,-89.4274468297863
0.031,-80.75331107363,-106.823992294435,-86.6501839693103,-81.1491525786805,-85.6105881233958,-82.6228740362163,-89.0281990006621,-95.0847773010135,-102.508062683873,-89.3855105905976
0.032,-80.7215441810064,-106.722323443471,-86.5979471674876,-81.0980485189395,-85.5991341264495,-82.58861446765,-88.9740759197503,-95.0093310624536,-102.433907138319,-89.3438025716001
0.033,-80.6898869017901,-106.621196974653,-86.5460274249911,-81.047215627079,-85.5876272878068,-82.5545022805583,-88.9200963977178,-94.9344372506008,-102.360115913893,-89.3023204899903
0.034,-80.6583384763239,-106.520607158451,-86.4944197582278,-80.99665190984,-85.5760688082819,-82.5205361864253,-88.8662606817802,-94.860085013111,-102.286683760061,-89.2610620880264
0.035,-80.6268981515161,-106.420548347666,-86.4431193084449,-80.946355383268,-85.5644598531212,-82.4867149131937,-88.8125689642274,-94.7862638084384,-102.213605542492,-89.2200251330187
0.036,-80.5955651807865,-106.321014976071,-86.3921213376713,-80.8963240731865,-85.5528015533006,-82.4530372050147,-88.7590213857809,-94.7129633944173,-102.140876239655,-89.1792074172932
0.037,-80.5643388240111,-106.222001557072,-86.3414212248197,-80.8465560156313,-85.5410950067635,-82.4195018220023,-88.7056180387369,-94.6401738173498,-102.068490939543,-89.1386067581306
0.038,-80.5332183474679,-106.123502682384,-86.2910144619388,-80.7970492572473,-85.5293412796061,-82.3861075399892,-88.6523589699098,-94.5678854015747,-101.996444836513,-89.0982209976826
0.039,-80.5022030237821,-106.025513020732,-86.2408966506107,-80.747801855652,-85.5175414072093,-82.3528531502863,-88.5992441833913,-94.4960887394923,-101.92473322823,-89.0580480028689
0.04,-80.471292131871,-105.928027316566,-86.1910634984865,-80.6988118797659,-85.5056963953228,-82.3197374594455,-88.5462736431378,-94.424774682022,-101.853351512727,-89.0180856652547
0.041,-80.4404849568893,-105.831040388795,-86.1415108159535,-80.6500774101139,-85.4938072211025,-82.2867592890248,-88.4934472753973,-94.3539343294706,-101.782295185562,-88.9783319009129
0.042,-80.4097807901748,-105.734547129545,-86.0922345129296,-80.601596539098,-85.4818748341031,-82.2539174753573,-88.4407649709894,-94.2835590227905,-101.711559837075,-88.9387846502704
0.043,-80.3791789291931,-105.638542502931,-86.0432305957769,-80.5533673712441,-85.4699001572296,-82.2212108693234,-88.3882265874456,-94.2136403352093,-101.641141149738,-88.8994418779417
0.044,-80.3486786774832,-105.543021543854,-85.9944951643319,-80.5053880234247,-85.4578840876486,-82.1886383361257,-88.3358319510221,-94.1441700642111,-101.571034895597,-88.8603015725506
0.045,-80.3182793446032,-105.447979356808,-85.9460244090454,-80.4576566250583,-85.4458274976615,-82.1561987550676,-88.2835808585912,-94.0751402238533,-101.501236933799,-88.8213617465401
0.046,-80.2879802460761,-105.35341111472,-85.8978146082282,-80.410171318288,-85.4337312355424,-82.1238910193351,-88.2314730794219,-94.0065430374015,-101.431743208204,-88.7826204359745
0.047,-80.2577807033352,-105.259312057798,-85.8498621253977,-80.3629302581393,-85.421596126341,-82.0917140357818,-88.1795083568552,-93.9383709302687,-101.362549745076,-88.7440757003309
0.048,-80.2276800436705,-105.1656774924,-85.8021634067218,-80.3159316126607,-85.4094229726533,-82.0596667247172,-88.1276864098819,-93.8706165232418,-101.293652650851,-88.7057256222856
0.049,-80.1976776001746,-105.072502789931,-85.7547149785546,-80.2691735630457,-85.3972125553612,-82.0277480196981,-88.0760069346286,-93.8032726259841,-101.225048109982,-88.6675683074914
0.05,-80.1677727116898,-104.979783385743,-85.7075134450615,-80.2226543037387,-85.3849656343427,-81.9959568673239,-88.024469605759,-93.7363322307992,-101.156732382846,-88.6296018843512
0.051,-80.137964722754,-104.887514778072,-85.660555485929,-80.1763720425265,-85.3726829491534,-81.9642922270341,-87.9730740777945,-93.6697885066444,-101.088701803733,-88.5918245037855
0.052,-80.1082529835482,-104.795692526978,-85.6138378541566,-80.1303250006149,-85.3603652196821,-81.9327530709101,-87.9218199863601,-93.6036347933817,-101.020952778888,-88.5542343389959
0.053,-80.0786368498434,-104.704312253313,-85.5673573739255,-80.0845114126921,-85.3480131467797,-81.9013383834792,-87.87070694936,-93.5378645962563,-100.953481784623,-88.5168295852247
0.054,-80.0491156829484,-104.613369637703,-85.521110938544,-80.03892952698,-85.3356274128645,-81.8700471615231,-87.819734568087,-93.4724715805907,-100.88628536549,-88.4796084595124
0.055,-80.0196888496574,-104.522860419552,-85.4750955084634,-79.9935776052742,-85.3232086825039,-81.8388784138878,-87.7689024282711,-93.407449566686,-100.819360132506,-88.4425692004511
0.056,-79.990355722198,-104.432780396057,-85.429308109363,-79.9484539229722,-85.3107576029738,-81.8078311612983,-87.7182101010685,-93.3427925249189,-100.752702761445,-88.4057100679377
0.057,-79.9611156781801,-104.343125421245,-85.383745830302,-79.9035567690927,-85.2982748047971,-81.7769044361755,-87.6676571439974,-93.2784945710284,-100.686309991173,-88.3690293429238
0.058,-79.9319681005437,-104.253891405032,-85.338405821934,-79.8588844462849,-85.2857609022612,-81.746097282456,-87.6172431018218,-93.2145499615813,-100.620178622043,-88.3325253271662
0.059,-79.9029123775093,-104.165074312288,-85.2932852947832,-79.8144352708293,-85.2732164939171,-81.715408755416,-87.5669675073875,-93.1509530896094,-100.554305514336,-88.2961963429749
0.06,-79.8739479025259,-104.076670161928,-85.2483815175782,-79.7702075726299,-85.260642163059,-81.6848379214966,-87.5168298824126,-93.0876984804107,-100.488687586754,-88.2600407329624
0.061,-79.8450740742219,-103.988675026014,-85.2036918156433,-79.7261996951994,-85.2480384781869,-81.6543838581334,-87.466829738235,-93.0247807875083,-100.423321814956,-88.2240568597918
0.062,-79.8162902963546,-103.90108502888,-85.1592135693422,-79.6824099956369,-85.235405993452,-81.6240456535887,-87.4169665765204,-92.9621947887576,-100.358205230141,-88.1882431059257
0.063,-79.7875959777609,-103.813896346264,-85.1149442125754,-79.6388368445995,-85.2227452490856,-81.5938224067858,-87.367239889932,-92.899935382599,-100.293334917673,-88.1525978733749
0.064,-79.7589905323082,-103.727105204464,-85.0708812313257,-79.5954786262668,-85.2100567718131,-81.5637132271472,-87.3176491627645,-92.837997584446,-100.228708015749,-88.1171195834491
0.065,-79.7304733788454,-103.640707879506,-85.0270221622531,-79.5523337383009,-85.1973410752523,-81.5337172344352,-87.2681938715443,-92.776376523206,-100.164321714109,-88.0818066765071
0.066,-79.7020439411547,-103.554700696323,-84.9833645913348,-79.5094005918003,-85.1845986602987,-81.5038335585946,-87.2188734855986,-92.7150674379263,-100.10017325278,-88.0466576117094
