"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1e-04,-4.94506560020647,-12.6421619443759,-13.0662534509188,0.0644701464535764,-6.37854894789211,-14.5441423324605,-4.12419113520813,-4.60686010444385,-11.7130534735925,-16.4423082414504
0.0101,-4.93622869286965,-12.6322934182694,-13.0652310344437,0.0695386342815105,-6.35141624742011,-14.5201582363461,-4.1074571735578,-4.60283959393146,-11.7009752805062,-16.4435431474591
0.0201,-4.92760364632257,-12.6225721530385,-13.0646089142365,0.0741521425657865,-6.32444013079342,-14.4962763908155,-4.09091993039428,-4.59911158265823,-11.6889925635775,-16.4450838210757
0.0301,-4.91919065695852,-12.6129985555362,-13.0643887674786,0.0783080155553861,-6.29762100558551,-14.4724968905281,-4.07458011644255,-4.59567708049363,-11.6771053515287,-16.4469311209457
0.0401,-4.91098990904148,-12.6035730259039,-13.0645722215621,0.0820036334208929,-6.27095926888862,-14.4488198247137,-4.05843842365076,-4.59253706457193,-11.6653136684079,-16.4490858660589
0.0501,-4.90300157642568,-12.5942959577912,-13.0651608532436,0.0852364132402954,-6.24445530713137,-14.4252452772121,-4.04249552576977,-4.58969247859845,-11.6536175335777,-16.4515488352493
0.0601,-4.89522582236939,-12.5851677382856,-13.0661561878393,0.0880038101382681,-6.21810949595383,-14.401773326446,-4.02675207810288,-4.5871442322852,-11.6420169617062,-16.454320766861
0.0701,-4.88766279945748,-12.5761887478159,-13.0675596984403,0.0903033184133655,-6.19192220007341,-14.3784040454019,-4.01120871725956,-4.58489320080931,-11.6305119627613,-16.457402358446
0.0801,-4.88031264936769,-12.5673593600653,-13.0693728051603,0.0921324726569672,-6.16589377316217,-14.355137501607,-3.9958660609071,-4.5829402242799,-11.6191025420034,-16.460794266485
0.0901,-4.87317550294008,-12.558679941886,-13.0715968744076,0.0934888488638386,-6.14002455772608,-14.3319737571155,-3.98072470754455,-4.58128610722074,-11.6077886999852,-16.4644971061309
0.1001,-4.86625147988681,-12.5501508532226,-13.0742332181891,0.0943700655264657,-6.11431488498845,-14.3089128684884,-3.9657852362755,-4.57993161807045,-11.5965704325468,-16.4685114509863
0.1101,-4.85954068882755,-12.5417724470265,-13.0772830934395,0.0947737847290888,-6.08876507478015,-14.2859548867841,-3.95104820659762,-4.5788774886977,-11.5854477308177,-16.4728378329004
0.1201,-4.85304322707514,-12.53354506918,-13.0807477013829,0.0946977132212048,-6.06337543543358,-14.2630998575438,-3.93651415819934,-4.57812441393257,-11.5744205812172,-16.4774767417974
