Year	ecology	evolution	ecology.total	evolution.total	paleo	paleo.total
2005	39	113	582000	415000	6	12000
2006	61	155	592000	472000	8	12000
2007	76	218	593000	514000	3	13300
2008	112	256	571000	470000	7	13300
2009	145	321	535000	545000	12	14300
2010	141	320	486000	479000	20	11700
2011	197	410	377000	417000	22	13500
2012	233	466	286000	363000	40	12000
2013	250	482	186000	229000	34	9620
2014	346	613	101000	100000	47	8830
